movie_code,title,audience,recorded_at
20184105,말모이,1184923,20190113
20176251,내안의 그놈,765381,20190113
20189463,주먹왕 랄프 2: 인터넷 속으로,1342309,20190113
20180290,아쿠아맨,4920735,20190113
20183915,극장판 공룡메카드: 타이니소어의 섬,289873,20190113
20185485,보헤미안 랩소디,9785643,20190113
20184574,그린 북,99569,20190113
20186281,범블비,1553491,20190113
20170658,PMC: 더 벙커,1665204,20190113
20175547,스윙키즈,1462874,20190113
20183785,점박이 한반도의 공룡2 : 새로운 낙원,521053,20190113
20184187,언니,172338,20190113
20182421,그린치,543815,20190113
20168773,마약왕,1787838,20190113
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,259753,20190113
20183238,스파이더맨: 뉴 유니버스,628327,20190113
20177552,국가부도의 날,3723913,20190113
20179230,도어락,1546002,20190113
20183375,극장판 포켓몬스터 모두의 이야기,86997,20190113
20189843,호두까기 인형과 4개의 왕국,408425,20190113
20182082,부탁 하나만 들어줘,87501,20190113
20178825,모털 엔진,262070,20190113
20183745,런닝맨 : 풀룰루의 역습,180709,20190113
20177538,완벽한 타인,5270621,20190113
20184481,성난황소,1567264,20190113
20181905,후드,276658,20190113
20176814,신비한 동물들과 그린델왈드의 범죄,2403686,20190113
20183073,베일리 어게인,78439,20190113
20181171,바울,229837,20190113
20183007,거미줄에 걸린 소녀,25172,20190113
20182966,투 프렌즈,20419,20190113
20183050,번 더 스테이지: 더 무비,298402,20190113
20182935,출국,71407,20190113
20182669,툴리,24325,20190113
20186822,너의 췌장을 먹고 싶어,48910,20190113
20170513,동네사람들,445625,20190113
20189869,해피 투게더,15745,20190113
20174981,창궐,1588443,20190113
20010291,해리포터와 마법사의 돌,259733,20190113
20179006,여곡성,55997,20190113
20181404,벽 속에 숨은 마법시계,211233,20190113
20180523,스타 이즈 본,458917,20190113
20182693,구스범스: 몬스터의 역습,21400,20190113
