tr_cd,hhmmss
STTBOT4973B,000000
STTBXU6011A,000000
SCACT421321,000000
SCPSB752531,000000
SCIOT950891,000000
SCACT421881,000000
SCIAO552221,000000
SCACT445542,000000
SPRTPQ22613,000000
SCSOS614052,000000
SMIFMH5860B,000000
SCACT445771,000000
SCPSI72130A,000000
SCPSI71354A,000000
SCPSI72107A,000000
SPRTPQ22264,000000
SCRAP590120,000000
BTTBETTZ101,000000
SCACT450122,000000
SCSOS642191,000000
SMAERP13220,000000
SCGNAV32111,000000
STTBOT4043B,000000
STTBOT4004E,000000
SMAERP13150,000000
STTBET1221F,000000
SUIBS500016,000000
SCRITF70411,000000
SCPNSQ91122,000000
BRMAS20203U,000000
SCPDI344181,000000
SPTWMQ65701,000000
SCCBS255913,000000
SMCPLY23011,000000
SCPDI345051,000000
SUIBS000556,000000
SCCBS275005,000000
SCACT420311,000000
SPTWMQ57231,000000
SMCRM400004,000000
STTBFT5391B,000000
SCPSI72549A,000000
STTBET1601A,000000
SCPDI349811,000000
SCIAO570271,000000
SCPSI72523A,000000
SPRTPQ21011,000000
SCACT441641,000000
SUCEM000010,000000
STTBOT4930B,000000
STTBET1741A,000000
SCIAO560321,000000
BTTBXU6002C,000000
SCACT444931,000000
SCFOS676161,000000
SCPSO755351,000000
SCPST775101,000000
SCBAL870311,000000
STTBKT3192A,000000
SMSLS00169A,000000
SCPSO755021,000000
SCPSB764241,000000
SCACT421522,000000
BTTBMALB207,000000
STCCOI1015D,000000
SRRMSW02033,000000
STTBFT510BA,000000
SCRITF70162,000000
BTTBERIT315,000000
STTBNT3312B,000000
SCIAO560382,000000
STTBET1212A,000000
SCCBS215051,000000
SUCRM103002,000000
SPTWMQ99911,000000
STHITJ1007A,000000
BCFOS674511,000000
BVTBB471030,000000
SCACT420451,000000
SRRMSW61021,000000
SPRWMD70533,000000
SCRITF60171,000000
BVTBXU0003A,000000
SUIBS000216,000000
SCCBS210481,000000
BTTBFFNO007,000000
SCSOS642621,000000
BTTBODD0006,000000
SCPSO755241,000000
SCRITF70192,000000
SCPSI71331A,000000
SCCBS285531,000000
SCFOS676071,000000
SMFACR1501A,000000
SCMNYS2124B,000000
SUCRM307006,000000
SCIAO560231,000000
SVTBBT7137C,000000
SCIOT950611,000000
SCPSB752011,000000
